technology,country,experience_years,salary_usd,company_size,salary_idr
Python,Thailand,11,60209,Small,903135000
AWS,Thailand,11,60209,Small,903135000
Git,Thailand,11,60209,Small,903135000
React,Malaysia,8,47819,Large,717285000
MongoDB,Malaysia,8,47819,Large,717285000
PostgreSQL,Malaysia,8,47819,Large,717285000
Python,Malaysia,8,47819,Large,717285000
Laravel,Indonesia,6,75483,Small,1132245000
C#,Indonesia,6,75483,Small,1132245000
AWS,Indonesia,6,75483,Small,1132245000
JavaScript,Indonesia,6,75483,Small,1132245000
Python,Indonesia,6,75483,Small,1132245000
Git,Indonesia,6,75483,Small,1132245000
Kubernetes,Indonesia,6,75483,Small,1132245000
Express.js,Indonesia,6,75483,Small,1132245000
JavaScript,Malaysia,8,39804,Small,597060000
Java,Malaysia,8,39804,Small,597060000
MongoDB,Malaysia,8,39804,Small,597060000
React,Malaysia,8,39804,Small,597060000
Kubernetes,Malaysia,8,39804,Small,597060000
Django,Malaysia,8,39804,Small,597060000
PHP,Malaysia,8,39804,Small,597060000
Vue.js,Malaysia,2,45799,Medium,686985000
JavaScript,Malaysia,2,45799,Medium,686985000
PHP,Malaysia,2,45799,Medium,686985000
C#,Malaysia,2,45799,Medium,686985000
C++,Malaysia,2,45799,Medium,686985000
AWS,Malaysia,2,45799,Medium,686985000
Laravel,Malaysia,2,45799,Medium,686985000
Python,Malaysia,2,45799,Medium,686985000
Kubernetes,Singapore,10,33770,Medium,506550000
Express.js,Singapore,10,33770,Medium,506550000
Spring Boot,Singapore,10,33770,Medium,506550000
Docker,Singapore,10,33770,Medium,506550000
Python,Singapore,10,33770,Medium,506550000
Node.js,Malaysia,3,37297,Small,559455000
React,Malaysia,3,37297,Small,559455000
Django,Malaysia,3,37297,Small,559455000
C++,Malaysia,3,37297,Small,559455000
Azure,Indonesia,15,43322,Small,649830000
Spring Boot,Indonesia,15,43322,Small,649830000
Express.js,Indonesia,15,43322,Small,649830000
MongoDB,Indonesia,15,43322,Small,649830000
Node.js,Indonesia,15,43322,Small,649830000
TypeScript,Indonesia,11,16349,Small,245235000
Docker,Indonesia,11,16349,Small,245235000
PHP,Indonesia,11,16349,Small,245235000
Linux,Indonesia,11,16349,Small,245235000
C++,Indonesia,11,16349,Small,245235000
PHP,Singapore,13,54602,Small,819030000
Java,Singapore,13,54602,Small,819030000
Angular,Singapore,13,54602,Small,819030000
Spring Boot,Singapore,13,54602,Small,819030000
Azure,Singapore,13,54602,Small,819030000
Linux,Singapore,13,54602,Small,819030000
JavaScript,Thailand,14,29012,Large,435180000
PHP,Thailand,14,29012,Large,435180000
Express.js,Thailand,14,29012,Large,435180000
Python,Thailand,14,29012,Large,435180000
MongoDB,Thailand,14,29012,Large,435180000
AWS,Indonesia,6,51956,Large,779340000
Node.js,Indonesia,6,51956,Large,779340000
JavaScript,Indonesia,6,51956,Large,779340000
Laravel,Indonesia,6,51956,Large,779340000
Angular,Indonesia,6,51956,Large,779340000
Linux,Indonesia,6,51956,Large,779340000
C++,Indonesia,6,51956,Large,779340000
Git,Indonesia,6,51956,Large,779340000
PostgreSQL,Malaysia,1,47511,Small,712665000
C++,Malaysia,1,47511,Small,712665000
JavaScript,Malaysia,1,47511,Small,712665000
Angular,Malaysia,1,47511,Small,712665000
Vue.js,Thailand,13,119140,Large,1787100000
AWS,Thailand,13,119140,Large,1787100000
Git,Thailand,13,119140,Large,1787100000
PostgreSQL,Thailand,13,119140,Large,1787100000
Express.js,Thailand,13,119140,Large,1787100000
Azure,Thailand,13,119140,Large,1787100000
Docker,Thailand,13,119140,Large,1787100000
Linux,Thailand,13,119140,Large,1787100000
Laravel,Indonesia,7,79474,Large,1192110000
Python,Indonesia,7,79474,Large,1192110000
Express.js,Indonesia,7,79474,Large,1192110000
AWS,Indonesia,7,79474,Large,1192110000
TypeScript,Indonesia,7,79474,Large,1192110000
PHP,Indonesia,7,79474,Large,1192110000
Express.js,Indonesia,15,49516,Small,742740000
Python,Indonesia,15,49516,Small,742740000
Django,Indonesia,15,49516,Small,742740000
AWS,Indonesia,15,49516,Small,742740000
Linux,Thailand,13,113310,Large,1699650000
Azure,Thailand,13,113310,Large,1699650000
Angular,Thailand,13,113310,Large,1699650000
C++,Thailand,13,113310,Large,1699650000
MySQL,Thailand,13,113310,Large,1699650000
PostgreSQL,Thailand,13,113310,Large,1699650000
Git,Thailand,13,113310,Large,1699650000
MongoDB,Thailand,13,113310,Large,1699650000
Express.js,Indonesia,5,114059,Medium,1710885000
Linux,Indonesia,5,114059,Medium,1710885000
Angular,Indonesia,5,114059,Medium,1710885000
Node.js,Indonesia,5,114059,Medium,1710885000
Java,Indonesia,13,23483,Large,352245000
Node.js,Indonesia,13,23483,Large,352245000
Kubernetes,Indonesia,13,23483,Large,352245000
AWS,Indonesia,13,23483,Large,352245000
Linux,Indonesia,13,23483,Large,352245000
Python,Indonesia,13,23483,Large,352245000
MongoDB,Indonesia,13,23483,Large,352245000
AWS,Indonesia,15,92491,Large,1387365000
C++,Indonesia,15,92491,Large,1387365000
Linux,Indonesia,15,92491,Large,1387365000
Kubernetes,Indonesia,11,75915,Small,1138725000
Docker,Indonesia,11,75915,Small,1138725000
TypeScript,Indonesia,11,75915,Small,1138725000
PostgreSQL,Indonesia,11,75915,Small,1138725000
JavaScript,Indonesia,11,75915,Small,1138725000
Python,Indonesia,11,75915,Small,1138725000
Java,Thailand,5,93613,Small,1404195000
C++,Thailand,5,93613,Small,1404195000
Angular,Thailand,5,93613,Small,1404195000
AWS,Thailand,5,93613,Small,1404195000
Kubernetes,Thailand,5,93613,Small,1404195000
Azure,Thailand,5,93613,Small,1404195000
JavaScript,Thailand,5,93613,Small,1404195000
MongoDB,Thailand,5,93613,Small,1404195000
Django,Indonesia,12,34004,Medium,510060000
Laravel,Indonesia,12,34004,Medium,510060000
Docker,Indonesia,12,34004,Medium,510060000
PHP,Malaysia,12,31682,Medium,475230000
PostgreSQL,Malaysia,12,31682,Medium,475230000
Azure,Malaysia,12,31682,Medium,475230000
Kubernetes,Malaysia,12,31682,Medium,475230000
Python,Malaysia,12,31682,Medium,475230000
Express.js,Malaysia,12,31682,Medium,475230000
MongoDB,Malaysia,12,31682,Medium,475230000
C#,Singapore,10,54776,Medium,821640000
Laravel,Singapore,10,54776,Medium,821640000
Java,Singapore,10,54776,Medium,821640000
React,Malaysia,1,40919,Small,613785000
C#,Malaysia,1,40919,Small,613785000
Django,Malaysia,1,40919,Small,613785000
Git,Malaysia,1,40919,Small,613785000
JavaScript,Malaysia,1,40919,Small,613785000
Kubernetes,Malaysia,1,40919,Small,613785000
MySQL,Malaysia,15,46185,Large,692775000
Kubernetes,Malaysia,15,46185,Large,692775000
Angular,Malaysia,15,46185,Large,692775000
Python,Malaysia,15,46185,Large,692775000
Spring Boot,Malaysia,15,46185,Large,692775000
Vue.js,Malaysia,15,46185,Large,692775000
Laravel,Malaysia,15,46185,Large,692775000
C#,Malaysia,15,46185,Large,692775000
Vue.js,Thailand,3,104640,Small,1569600000
Azure,Thailand,3,104640,Small,1569600000
Git,Thailand,3,104640,Small,1569600000
Node.js,Thailand,3,104640,Small,1569600000
AWS,Thailand,10,69915,Medium,1048725000
C#,Thailand,10,69915,Medium,1048725000
Angular,Thailand,10,69915,Medium,1048725000
React,Thailand,10,69915,Medium,1048725000
Linux,Thailand,10,69915,Medium,1048725000
Node.js,Indonesia,9,44011,Small,660165000
Python,Indonesia,9,44011,Small,660165000
Spring Boot,Indonesia,9,44011,Small,660165000
MySQL,Indonesia,9,44011,Small,660165000
C++,Indonesia,9,44011,Small,660165000
Vue.js,Indonesia,9,44011,Small,660165000
Express.js,Indonesia,7,81164,Medium,1217460000
C#,Indonesia,7,81164,Medium,1217460000
Git,Indonesia,7,81164,Medium,1217460000
Linux,Indonesia,7,81164,Medium,1217460000
Azure,Indonesia,7,81164,Medium,1217460000
Kubernetes,Indonesia,7,81164,Medium,1217460000
Laravel,Malaysia,6,36795,Large,551925000
AWS,Malaysia,6,36795,Large,551925000
Git,Malaysia,6,36795,Large,551925000
Vue.js,Singapore,3,19743,Small,296145000
Python,Singapore,3,19743,Small,296145000
Express.js,Singapore,3,19743,Small,296145000
MySQL,Singapore,3,19743,Small,296145000
PostgreSQL,Singapore,3,19743,Small,296145000
C#,Singapore,3,19743,Small,296145000
Git,Singapore,3,19743,Small,296145000
MongoDB,Singapore,3,19743,Small,296145000
Express.js,Thailand,10,47082,Medium,706230000
Java,Thailand,10,47082,Medium,706230000
Spring Boot,Thailand,10,47082,Medium,706230000
C++,Thailand,10,47082,Medium,706230000
Vue.js,Thailand,10,47082,Medium,706230000
Node.js,Thailand,10,47082,Medium,706230000
Spring Boot,Thailand,3,88650,Large,1329750000
MongoDB,Thailand,3,88650,Large,1329750000
Express.js,Thailand,3,88650,Large,1329750000
C#,Thailand,3,88650,Large,1329750000
Azure,Indonesia,8,82193,Small,1232895000
PostgreSQL,Indonesia,8,82193,Small,1232895000
C++,Indonesia,8,82193,Small,1232895000
Linux,Indonesia,8,82193,Small,1232895000
Java,Malaysia,9,107833,Small,1617495000
Linux,Malaysia,9,107833,Small,1617495000
C++,Malaysia,9,107833,Small,1617495000
Angular,Malaysia,9,107833,Small,1617495000
React,Indonesia,3,20914,Small,313710000
C#,Indonesia,3,20914,Small,313710000
Git,Indonesia,3,20914,Small,313710000
Python,Indonesia,3,20914,Small,313710000
Java,Indonesia,3,20914,Small,313710000
MySQL,Indonesia,3,20914,Small,313710000
Docker,Indonesia,3,20914,Small,313710000
Angular,Malaysia,8,52189,Large,782835000
Node.js,Malaysia,8,52189,Large,782835000
Azure,Malaysia,8,52189,Large,782835000
MongoDB,Malaysia,8,52189,Large,782835000
Vue.js,Malaysia,8,52189,Large,782835000
AWS,Malaysia,8,52189,Large,782835000
Kubernetes,Malaysia,8,52189,Large,782835000
Python,Malaysia,8,52189,Large,782835000
AWS,Malaysia,14,102941,Large,1544115000
Vue.js,Malaysia,14,102941,Large,1544115000
Laravel,Malaysia,14,102941,Large,1544115000
C#,Malaysia,14,102941,Large,1544115000
Azure,Malaysia,14,102941,Large,1544115000
C#,Indonesia,9,83312,Small,1249680000
Node.js,Indonesia,9,83312,Small,1249680000
Azure,Indonesia,9,83312,Small,1249680000
MySQL,Indonesia,9,83312,Small,1249680000
Django,Indonesia,9,83312,Small,1249680000
MongoDB,Indonesia,9,83312,Small,1249680000
Laravel,Thailand,12,16456,Large,246840000
Docker,Thailand,12,16456,Large,246840000
Linux,Thailand,12,16456,Large,246840000
PHP,Thailand,12,16456,Large,246840000
AWS,Thailand,12,16456,Large,246840000
Azure,Malaysia,5,111395,Medium,1670925000
C#,Malaysia,5,111395,Medium,1670925000
MongoDB,Malaysia,5,111395,Medium,1670925000
Spring Boot,Malaysia,5,111395,Medium,1670925000
Express.js,Thailand,8,76052,Medium,1140780000
TypeScript,Thailand,8,76052,Medium,1140780000
Docker,Thailand,8,76052,Medium,1140780000
Python,Thailand,8,76052,Medium,1140780000
Laravel,Malaysia,6,55311,Medium,829665000
MySQL,Malaysia,6,55311,Medium,829665000
Vue.js,Malaysia,6,55311,Medium,829665000
Linux,Malaysia,6,55311,Medium,829665000
TypeScript,Singapore,7,15421,Small,231315000
C#,Singapore,7,15421,Small,231315000
Node.js,Singapore,7,15421,Small,231315000
React,Singapore,7,15421,Small,231315000
Git,Singapore,2,90739,Large,1361085000
Laravel,Singapore,2,90739,Large,1361085000
Django,Singapore,2,90739,Large,1361085000
Azure,Singapore,2,90739,Large,1361085000
TypeScript,Singapore,2,90739,Large,1361085000
C++,Singapore,2,90739,Large,1361085000
Python,Thailand,15,33793,Large,506895000
Angular,Thailand,15,33793,Large,506895000
PostgreSQL,Thailand,15,33793,Large,506895000
Vue.js,Thailand,15,33793,Large,506895000
C++,Thailand,15,33793,Large,506895000
Angular,Indonesia,15,60615,Small,909225000
AWS,Indonesia,15,60615,Small,909225000
Python,Indonesia,15,60615,Small,909225000
Docker,Indonesia,15,60615,Small,909225000
Spring Boot,Indonesia,15,60615,Small,909225000
Kubernetes,Indonesia,15,60615,Small,909225000
Angular,Thailand,4,23020,Small,345300000
MongoDB,Thailand,4,23020,Small,345300000
MySQL,Thailand,4,23020,Small,345300000
Node.js,Thailand,4,23020,Small,345300000
Express.js,Thailand,4,23020,Small,345300000
Vue.js,Thailand,4,23020,Small,345300000
Kubernetes,Thailand,4,23020,Small,345300000
Laravel,Thailand,4,23020,Small,345300000
TypeScript,Malaysia,9,96332,Medium,1444980000
Kubernetes,Malaysia,9,96332,Medium,1444980000
Linux,Malaysia,9,96332,Medium,1444980000
Python,Malaysia,9,96332,Medium,1444980000
Git,Malaysia,9,96332,Medium,1444980000
C#,Indonesia,13,36828,Medium,552420000
Angular,Indonesia,13,36828,Medium,552420000
Spring Boot,Indonesia,13,36828,Medium,552420000
MySQL,Indonesia,13,36828,Medium,552420000
Azure,Indonesia,2,61732,Small,925980000
JavaScript,Indonesia,2,61732,Small,925980000
C++,Indonesia,2,61732,Small,925980000
Laravel,Indonesia,2,61732,Small,925980000
Laravel,Thailand,9,56113,Large,841695000
Java,Thailand,9,56113,Large,841695000
Express.js,Thailand,9,56113,Large,841695000
TypeScript,Thailand,9,56113,Large,841695000
PHP,Thailand,9,56113,Large,841695000
Node.js,Singapore,12,109627,Medium,1644405000
Git,Singapore,12,109627,Medium,1644405000
React,Singapore,12,109627,Medium,1644405000
Express.js,Singapore,12,109627,Medium,1644405000
MongoDB,Singapore,12,109627,Medium,1644405000
AWS,Singapore,12,109627,Medium,1644405000
PHP,Singapore,12,109627,Medium,1644405000
Laravel,Singapore,12,109627,Medium,1644405000
Spring Boot,Indonesia,6,89826,Small,1347390000
Docker,Indonesia,6,89826,Small,1347390000
Kubernetes,Indonesia,6,89826,Small,1347390000
Python,Indonesia,6,89826,Small,1347390000
Node.js,Indonesia,6,89826,Small,1347390000
Django,Malaysia,13,27805,Medium,417075000
Node.js,Malaysia,13,27805,Medium,417075000
C++,Malaysia,13,27805,Medium,417075000
React,Thailand,9,76944,Medium,1154160000
AWS,Thailand,9,76944,Medium,1154160000
Python,Thailand,9,76944,Medium,1154160000
Docker,Thailand,9,76944,Medium,1154160000
Angular,Thailand,9,76944,Medium,1154160000
Linux,Thailand,9,76944,Medium,1154160000
TypeScript,Thailand,9,76944,Medium,1154160000
Vue.js,Singapore,15,84173,Small,1262595000
Django,Singapore,15,84173,Small,1262595000
React,Singapore,15,84173,Small,1262595000
PHP,Singapore,15,84173,Small,1262595000
TypeScript,Singapore,15,84173,Small,1262595000
Spring Boot,Singapore,15,84173,Small,1262595000
Git,Singapore,15,84173,Small,1262595000
MySQL,Singapore,3,70778,Large,1061670000
TypeScript,Singapore,3,70778,Large,1061670000
Python,Singapore,3,70778,Large,1061670000
JavaScript,Singapore,3,70778,Large,1061670000
PHP,Singapore,3,70778,Large,1061670000
Laravel,Singapore,3,70778,Large,1061670000
C#,Singapore,3,70778,Large,1061670000
Kubernetes,Indonesia,13,36349,Medium,545235000
Node.js,Indonesia,13,36349,Medium,545235000
Angular,Indonesia,13,36349,Medium,545235000
Azure,Indonesia,13,36349,Medium,545235000
Linux,Indonesia,13,36349,Medium,545235000
Java,Indonesia,13,36349,Medium,545235000
Docker,Indonesia,13,36349,Medium,545235000
AWS,Indonesia,13,36349,Medium,545235000
Git,Indonesia,3,45051,Small,675765000
Express.js,Indonesia,3,45051,Small,675765000
Node.js,Indonesia,3,45051,Small,675765000
Docker,Indonesia,3,45051,Small,675765000
Angular,Indonesia,3,45051,Small,675765000
Azure,Indonesia,3,45051,Small,675765000
C++,Indonesia,3,45051,Small,675765000
Angular,Indonesia,11,22700,Medium,340500000
PHP,Indonesia,11,22700,Medium,340500000
MySQL,Indonesia,11,22700,Medium,340500000
TypeScript,Indonesia,11,22700,Medium,340500000
Java,Indonesia,11,22700,Medium,340500000
Django,Indonesia,11,22700,Medium,340500000
Django,Indonesia,5,82060,Small,1230900000
C++,Indonesia,5,82060,Small,1230900000
Python,Indonesia,5,82060,Small,1230900000
Azure,Indonesia,5,82060,Small,1230900000
TypeScript,Indonesia,5,82060,Small,1230900000
PostgreSQL,Indonesia,5,82060,Small,1230900000
Docker,Indonesia,5,82060,Small,1230900000
Express.js,Indonesia,5,82060,Small,1230900000
TypeScript,Singapore,11,50717,Small,760755000
PHP,Singapore,11,50717,Small,760755000
Node.js,Singapore,11,50717,Small,760755000
PostgreSQL,Singapore,11,50717,Small,760755000
JavaScript,Singapore,11,50717,Small,760755000
Django,Singapore,11,50717,Small,760755000
Git,Singapore,11,50717,Small,760755000
C#,Malaysia,9,92794,Small,1391910000
Python,Malaysia,9,92794,Small,1391910000
C++,Malaysia,9,92794,Small,1391910000
MySQL,Malaysia,9,92794,Small,1391910000
React,Malaysia,4,59257,Medium,888855000
Azure,Malaysia,4,59257,Medium,888855000
Django,Malaysia,4,59257,Medium,888855000
AWS,Malaysia,4,59257,Medium,888855000
PHP,Malaysia,4,59257,Medium,888855000
JavaScript,Malaysia,4,59257,Medium,888855000
Node.js,Malaysia,4,59257,Medium,888855000
MongoDB,Singapore,6,118212,Medium,1773180000
AWS,Singapore,6,118212,Medium,1773180000
Node.js,Singapore,6,118212,Medium,1773180000
Linux,Singapore,6,118212,Medium,1773180000
C++,Indonesia,3,20518,Medium,307770000
React,Indonesia,3,20518,Medium,307770000
Java,Indonesia,3,20518,Medium,307770000
Vue.js,Thailand,15,71879,Medium,1078185000
Laravel,Thailand,15,71879,Medium,1078185000
Git,Thailand,15,71879,Medium,1078185000
Angular,Thailand,15,71879,Medium,1078185000
MongoDB,Thailand,15,71879,Medium,1078185000
JavaScript,Thailand,15,71879,Medium,1078185000
Python,Thailand,15,71879,Medium,1078185000
PHP,Thailand,15,71879,Medium,1078185000
MongoDB,Singapore,8,97479,Small,1462185000
Express.js,Singapore,8,97479,Small,1462185000
Java,Singapore,8,97479,Small,1462185000
Angular,Singapore,8,97479,Small,1462185000
Kubernetes,Singapore,8,97479,Small,1462185000
Docker,Thailand,15,66977,Medium,1004655000
Node.js,Thailand,15,66977,Medium,1004655000
Python,Thailand,15,66977,Medium,1004655000
Vue.js,Thailand,15,66977,Medium,1004655000
Spring Boot,Thailand,15,66977,Medium,1004655000
AWS,Thailand,15,66977,Medium,1004655000
Laravel,Thailand,15,66977,Medium,1004655000
PostgreSQL,Thailand,15,66977,Medium,1004655000
Spring Boot,Thailand,6,64428,Large,966420000
Linux,Thailand,6,64428,Large,966420000
C++,Thailand,6,64428,Large,966420000
Git,Thailand,6,64428,Large,966420000
C#,Thailand,6,64428,Large,966420000
Vue.js,Thailand,6,64428,Large,966420000
React,Indonesia,4,15849,Small,237735000
Express.js,Indonesia,4,15849,Small,237735000
Laravel,Indonesia,4,15849,Small,237735000
Azure,Indonesia,4,15849,Small,237735000
C#,Thailand,15,41636,Medium,624540000
MySQL,Thailand,15,41636,Medium,624540000
Django,Thailand,15,41636,Medium,624540000
Spring Boot,Thailand,15,41636,Medium,624540000
React,Thailand,15,41636,Medium,624540000
AWS,Thailand,15,41636,Medium,624540000
PostgreSQL,Thailand,15,41636,Medium,624540000
Express.js,Thailand,15,41636,Medium,624540000
JavaScript,Indonesia,12,51942,Small,779130000
PHP,Indonesia,12,51942,Small,779130000
PostgreSQL,Indonesia,12,51942,Small,779130000
Docker,Thailand,3,76181,Large,1142715000
Express.js,Thailand,3,76181,Large,1142715000
Laravel,Thailand,3,76181,Large,1142715000
Python,Thailand,3,76181,Large,1142715000
MongoDB,Indonesia,12,70103,Large,1051545000
JavaScript,Indonesia,12,70103,Large,1051545000
Java,Indonesia,12,70103,Large,1051545000
AWS,Indonesia,12,70103,Large,1051545000
C++,Indonesia,12,70103,Large,1051545000
Vue.js,Indonesia,12,70103,Large,1051545000
Vue.js,Singapore,13,47032,Small,705480000
MongoDB,Singapore,13,47032,Small,705480000
Python,Singapore,13,47032,Small,705480000
Git,Thailand,8,100742,Medium,1511130000
JavaScript,Thailand,8,100742,Medium,1511130000
TypeScript,Thailand,8,100742,Medium,1511130000
C#,Thailand,8,100742,Medium,1511130000
Linux,Malaysia,9,88418,Small,1326270000
Vue.js,Malaysia,9,88418,Small,1326270000
C++,Malaysia,9,88418,Small,1326270000
Spring Boot,Malaysia,9,88418,Small,1326270000
PostgreSQL,Malaysia,9,88418,Small,1326270000
AWS,Malaysia,9,88418,Small,1326270000
Docker,Malaysia,9,88418,Small,1326270000
Python,Malaysia,9,88418,Small,1326270000
Azure,Malaysia,6,38352,Medium,575280000
Node.js,Malaysia,6,38352,Medium,575280000
Vue.js,Malaysia,6,38352,Medium,575280000
Docker,Malaysia,6,38352,Medium,575280000
MySQL,Malaysia,6,38352,Medium,575280000
TypeScript,Malaysia,6,38352,Medium,575280000
Node.js,Indonesia,5,67397,Medium,1010955000
Express.js,Indonesia,5,67397,Medium,1010955000
Azure,Indonesia,5,67397,Medium,1010955000
C++,Indonesia,5,67397,Medium,1010955000
PHP,Indonesia,5,67397,Medium,1010955000
Django,Indonesia,6,117227,Small,1758405000
Laravel,Indonesia,6,117227,Small,1758405000
Docker,Indonesia,6,117227,Small,1758405000
Python,Indonesia,6,117227,Small,1758405000
MongoDB,Indonesia,6,117227,Small,1758405000
Vue.js,Indonesia,6,117227,Small,1758405000
JavaScript,Indonesia,6,117227,Small,1758405000
Node.js,Indonesia,6,117227,Small,1758405000
PHP,Malaysia,14,94771,Large,1421565000
Azure,Malaysia,14,94771,Large,1421565000
Docker,Malaysia,14,94771,Large,1421565000
React,Malaysia,14,94771,Large,1421565000
Spring Boot,Malaysia,14,94771,Large,1421565000
PostgreSQL,Malaysia,14,94771,Large,1421565000
Linux,Malaysia,14,94771,Large,1421565000
TypeScript,Malaysia,7,33111,Medium,496665000
PHP,Malaysia,7,33111,Medium,496665000
Vue.js,Malaysia,7,33111,Medium,496665000
Laravel,Malaysia,7,33111,Medium,496665000
C#,Malaysia,7,33111,Medium,496665000
Docker,Malaysia,7,33111,Medium,496665000
AWS,Malaysia,7,33111,Medium,496665000
JavaScript,Malaysia,7,33111,Medium,496665000
Django,Thailand,11,101245,Small,1518675000
Linux,Thailand,11,101245,Small,1518675000
MySQL,Thailand,11,101245,Small,1518675000
MongoDB,Thailand,13,98876,Small,1483140000
Docker,Thailand,13,98876,Small,1483140000
Node.js,Thailand,13,98876,Small,1483140000
Spring Boot,Indonesia,13,71299,Medium,1069485000
Git,Indonesia,13,71299,Medium,1069485000
MongoDB,Indonesia,13,71299,Medium,1069485000
Angular,Indonesia,13,71299,Medium,1069485000
Linux,Indonesia,13,71299,Medium,1069485000
TypeScript,Indonesia,13,71299,Medium,1069485000
React,Indonesia,13,71299,Medium,1069485000
Python,Indonesia,13,71299,Medium,1069485000
MySQL,Malaysia,2,57729,Small,865935000
React,Malaysia,2,57729,Small,865935000
TypeScript,Malaysia,2,57729,Small,865935000
PostgreSQL,Malaysia,2,57729,Small,865935000
Django,Malaysia,2,57729,Small,865935000
Laravel,Malaysia,2,57729,Small,865935000
TypeScript,Indonesia,2,59638,Medium,894570000
Python,Indonesia,2,59638,Medium,894570000
C#,Indonesia,2,59638,Medium,894570000
MongoDB,Indonesia,2,59638,Medium,894570000
MySQL,Indonesia,2,59638,Medium,894570000
Express.js,Indonesia,2,59638,Medium,894570000
Angular,Indonesia,2,59638,Medium,894570000
Java,Thailand,6,74672,Large,1120080000
Python,Thailand,6,74672,Large,1120080000
AWS,Thailand,6,74672,Large,1120080000
Spring Boot,Thailand,6,74672,Large,1120080000
Node.js,Thailand,6,74672,Large,1120080000
Django,Singapore,4,22080,Large,331200000
React,Singapore,4,22080,Large,331200000
Java,Singapore,4,22080,Large,331200000
Laravel,Singapore,4,22080,Large,331200000
Docker,Singapore,4,22080,Large,331200000
AWS,Singapore,4,22080,Large,331200000
Kubernetes,Indonesia,13,46838,Small,702570000
MySQL,Indonesia,13,46838,Small,702570000
C#,Indonesia,13,46838,Small,702570000
Docker,Indonesia,13,46838,Small,702570000
Vue.js,Indonesia,10,80149,Medium,1202235000
MongoDB,Indonesia,10,80149,Medium,1202235000
Docker,Indonesia,10,80149,Medium,1202235000
AWS,Indonesia,10,80149,Medium,1202235000
